fileName,Day,geoType,imageIndex,poreIndex,poreArea,porePerimeter,poreRadius,voidArea,voidPerimeter,voidRadius,voidNormalisedCoverage,voidNormalisedPerimeter,voidNormalisedRadius
"data\images\Day7\CRS500_1.tif",7,"CRS500",2,1,230984.765592122,1885.02385321101,235.666723662091,214169.682686643,1738.63853211009,226.130931295804,0.92720263233649,0.922342987410181,0.959536958726681
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,1,246911.448885553,1947.12328767123,246.687875572475,188566.543650049,1555.86757990868,222.971765175912,0.763701094060861,0.799059612588528,0.903861872653749
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,2,234361.251850462,1897.67671232877,236.447761138753,169606.138320719,1473.63652968037,208.478491529009,0.723695307912671,0.776547722858424,0.881710575414028
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,3,239064.239694752,1914.91141552511,243.315300995322,181169.70038156,1522.42557077626,221.379593193686,0.757828525976472,0.795037075048597,0.909846574745176
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,4,234988.428097829,1898.34885844749,241.610707356885,182498.27985238,1529.69132420091,224.477204502151,0.776626667660431,0.805800955600926,0.929086326338068
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,5,223283.918183524,1852.48219178082,233.24876172593,176867.037801547,1506.60456621005,217.500719806075,0.792117225639934,0.813289635330703,0.932483920586215
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,6,231497.258188945,1885.6,230.781760376477,183227.205437751,1536.05844748858,221.005429429536,0.791487583357051,0.814625820687624,0.9576381992624
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,7,220626.759241884,1841.96164383562,231.574972494654,167794.666499864,1467.0803652968,216.317960430082,0.760536333291751,0.796477152608793,0.934116317060452
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,8,233291.215779487,1894.09680365297,234.297277264492,178860.324013261,1516.03561643836,219.870449933904,0.766682634901795,0.80040028234804,0.938425117444699
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,9,247702.0912825,1953.60365296804,245.513669316962,172897.979608432,1493.17534246575,197.564318353942,0.698007750815654,0.764318463572295,0.804697835780715
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,10,230078.605533663,1883.3497716895,231.564830599759,170280.853193219,1476.74794520548,217.069877987864,0.740098597165332,0.78410710926029,0.937404343421437
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,11,252859.615103939,1975.30228310502,249.933645014844,188386.397281124,1553.98630136986,226.887450990483,0.745023665418804,0.786708097621958,0.907790749728825
"data\images\Day7\CRS500_2.tif",7,"CRS500",3,12,238792.35211943,1918.69589041096,239.101293850397,184921.915723192,1540.23561643836,228.359747543282,0.774404682905022,0.802751297970653,0.955075331738538
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,1,242294.364170889,1945.26757990868,244.178520971401,224746.77342007,1830.60365296804,233.726852310522,0.927577387898126,0.941054933457524,0.957196609188642
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,2,230970.997268614,1896.49315068493,236.515847280644,213430.078605534,1738.98630136986,221.375832460297,0.92405575214848,0.916948369015631,0.935987313347409
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,3,233105.231333792,1907.67853881279,236.762443909484,209802.964908989,1739.34703196347,216.647898568885,0.900035420520288,0.911761073249755,0.915043344677212
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,4,236397.072621505,1923.55433789954,242.214632726012,215553.470528137,1776.39269406393,227.315309370582,0.911828002511942,0.923494938023788,0.938487104648695
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,5,213553.512228686,1835.45479452055,219.529845015079,195197.764850608,1682.98538812785,211.423006736342,0.914046146155529,0.916930993425789,0.963071817054396
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,6,204931.506849315,1790.87123287671,220.569954964615,194444.652947186,1698.19726027397,215.848517584267,0.948827517723569,0.948252017843921,0.978594376640713
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,7,209129.084047455,1808.19634703196,217.276228905418,193925.064114593,1662.07579908676,213.222581086005,0.927298395619559,0.919189888761222,0.981343344185258
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,8,214408.373470111,1837.48584474886,218.009103141583,201367.777986281,1733.87945205479,212.299401099627,0.939178702432307,0.943615134238912,0.973809799867634
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,9,239316.11100686,1931.40091324201,243.486166422787,226865.161276871,1888.26210045662,233.524849562004,0.947972789305305,0.97766449601964,0.959088776963674
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,10,234890.848814662,1910.16255707763,237.981810648928,221073.789120327,1823.23652968037,228.776485426171,0.941176679448942,0.954492863931827,0.961319206717289
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,11,226353.078542983,1878.14794520548,230.834771738543,213249.098225642,1794.80182648402,220.661531872751,0.942108230196424,0.955623241004934,0.955928477372922
"data\images\Day7\CRS500_3.tif",7,"CRS500",4,12,239673.901711807,1930.95525114155,243.066430332251,223014.532641104,1870.50502283105,225.80996612486,0.930491518051327,0.968694132981712,0.929005152279552
"data\images\Day7\CRS500_4.tif",7,"CRS500",5,1,225375.810116994,1864.10642201835,232.508261568561,183775.776449794,1533.77247706422,222.36604876232,0.815419260631365,0.822792335752772,0.956379129335798
"data\images\Day14\CRS500_1.tif",14,"CRS500",8,1,224620.823163033,1856.70825688073,232.278323165812,99537.0760037034,1120.85321100917,169.90275838619,0.443133786984022,0.60367761432386,0.731461963693032
"data\images\Day14\CRS500_2.tif",14,"CRS500",9,1,237813.315377494,1914.01467889908,234.314308487337,146971.635384227,1363.62201834862,204.656845064419,0.618012642189236,0.712440731715267,0.873428713703495
"data\images\Day14\CRS500_3.tif",14,"CRS500",10,1,234087.696253206,1904.58812785388,237.53832770781,152685.723817268,1391.49315068493,204.376331354318,0.652258646059349,0.730600558900305,0.860393071410843
"data\images\Day14\CRS500_3.tif",14,"CRS500",10,2,224837.6806155,1868.77442922374,235.498879414834,128064.052042284,1274.59269406393,189.085643643548,0.5695844739712,0.682047375077456,0.802915258507329
"data\images\Day14\CRS500_3.tif",14,"CRS500",10,3,233420.48747941,1904.3397260274,240.542941177657,152072.725756344,1383.9095890411,206.870201295984,0.651496907570111,0.726713605837568,0.860013602075301
"data\images\Day14\CRS500_3.tif",14,"CRS500",10,4,234872.500573383,1913.95433789954,238.137096280224,147817.601801464,1367.04566210046,196.53479579082,0.629352527182211,0.714251973012434,0.82530105078442
